B02,B03,B04,B08,class
1278,2281,1193,17524,forest
1389,2379,1245,20473,forest
2254,2464,2884,7052,forest
3008,3329,4155,6167,forest
2366,3106,2674,12622,forest
1612,2897,1422,21594,forest
2438,2635,3185,5380,forest
1455,2425,1206,18442,forest
1311,2058,1304,19346,forest
1370,2215,1193,17767,forest
2582,3709,2962,11521,forest
1226,2045,1016,24091,forest
2136,3880,2294,23573,forest
1534,2857,1429,23337,forest
1966,3683,1999,23154,forest
2582,3015,4083,10060,forest
1488,2399,1258,21371,forest
2215,3932,2615,22492,forest
1488,2661,1258,22544,forest
1920,3434,2005,21128,forest
1101,1907,904,17406,forest
2995,3362,4227,6540,forest
1409,2543,1291,20139,forest
1357,2353,1298,21338,forest
2969,3329,3735,5872,forest
2530,4981,3237,23488,forest
1750,2654,1494,22472,forest
1409,2399,1258,21260,forest
1284,2064,1199,19936,forest
1750,2733,1343,22544,forest
2222,2451,3047,5269,forest
1625,2438,1232,21921,forest
2248,2589,3060,5361,forest
1612,2556,1245,20965,forest
1665,3041,1763,25546,forest
2254,2635,3251,4915,forest
2654,3565,3513,12399,forest
1501,2359,1153,15774,forest
1678,2425,1501,22229,forest
1953,3572,1743,23553,forest
1468,2202,1134,18763,forest
1573,2471,1337,20218,forest
1540,2477,1226,21207,forest
2163,2385,2897,5125,forest
1265,2169,1049,17760,forest
1442,2595,1219,22098,forest
1062,1612,970,17609,forest
1874,3427,1992,24700,forest
1363,2110,1239,19615,forest
1094,1822,970,17734,forest
1678,2759,1402,21712,forest
3034,3519,4227,7963,forest
1088,1704,917,14044,forest
2831,3080,3847,6049,forest
1429,2195,1206,20814,forest
1796,2923,1540,25355,forest
1855,3604,1645,26627,forest
3251,3729,4548,7065,forest
1442,1796,865,15604,forest
1448,2562,1442,22859,forest
1271,2150,970,16515,forest
1363,2012,1153,13192,forest
1514,2693,1337,26037,forest
1593,2641,1376,21181,forest
1376,2281,1226,15958,forest
2372,2785,2943,7543,forest
1540,2726,1507,21024,forest
1448,2635,1265,20440,forest
2077,3906,2359,22387,forest
1763,3421,1927,18560,forest
1999,4148,2176,22806,forest
1579,3060,1514,22747,forest
1284,1691,911,17550,forest
1691,3408,1920,22570,forest
2825,4646,3146,19130,forest
1029,1632,872,15119,forest
1612,2903,1625,23507,forest
3454,4148,5190,7759,forest
1324,2405,1239,18448,forest
1409,2287,1147,17675,forest
2412,2687,3119,5787,forest
1383,2182,1160,19575,forest
2490,3074,4299,7733,forest
1553,2621,1422,21731,forest
1599,2018,1114,18120,forest
2739,4391,3342,14057,forest
1278,2084,1068,19248,forest
2576,4627,2811,23363,forest
1488,2195,1239,22144,forest
3591,4155,5112,7700,forest
2628,4181,3598,18179,forest
1874,3421,1979,21686,forest
2733,3329,3735,7543,forest
1494,2654,1291,21672,forest
2838,3460,3526,9817,forest
2530,2870,3735,5885,forest
2353,4627,1920,24851,forest
1691,2811,1442,23724,forest
3323,4076,5492,8290,forest
1488,2405,1278,21705,forest
1442,2477,1193,19739,forest
1566,3021,1481,25349,forest
1566,2536,1311,22675,forest
1396,2241,1245,21161,forest
1514,2359,1298,22328,forest
1357,2444,1311,20342,forest
1468,2058,1180,19077,forest
1907,4175,2346,23796,forest
1901,3604,1730,25618,forest
1324,2346,1389,24641,forest
2005,3434,1697,20034,forest
1789,2615,1665,22708,forest
1461,2608,1311,22760,forest
2097,4070,1992,27426,forest
1566,2576,1376,23619,forest
1206,1645,990,14228,forest
3336,3985,4352,8185,forest
1232,2150,1101,18782,forest
1330,2235,1094,18468,forest
1271,1927,1127,19477,forest
1409,2385,1226,27367,forest
1101,1776,832,16580,forest
2825,3827,3126,11587,forest
1573,2517,1160,21109,forest
